"Sl","Gene"
"476","ENSG00000038427"
"477","ENSG00000038532"
"478","ENSG00000038945"
"479","ENSG00000039068"
"480","ENSG00000039123"
"481","ENSG00000039139"
"482","ENSG00000039319"
"483","ENSG00000039523"
"484","ENSG00000039537"
"485","ENSG00000039560"
"486","ENSG00000039600"
"487","ENSG00000039650"
"488","ENSG00000039987"
"489","ENSG00000040199"
"490","ENSG00000040275"
"491","ENSG00000040341"
"492","ENSG00000040608"
"493","ENSG00000040633"
"494","ENSG00000040731"
"495","ENSG00000040933"
"496","ENSG00000041353"
"497","ENSG00000041357"
"498","ENSG00000041515"
"499","ENSG00000041802"
"500","ENSG00000041982"
"501","ENSG00000041988"
"502","ENSG00000042062"
"503","ENSG00000042286"
"504","ENSG00000042304"
"505","ENSG00000042317"
"506","ENSG00000042445"
"507","ENSG00000042493"
"508","ENSG00000042832"
"509","ENSG00000043039"
"510","ENSG00000043093"
"511","ENSG00000043143"
"512","ENSG00000043462"
"513","ENSG00000043514"
"514","ENSG00000044090"
"515","ENSG00000044115"
"516","ENSG00000044446"
"517","ENSG00000044459"
"518","ENSG00000044524"
"519","ENSG00000044574"
"520","ENSG00000046604"
"521","ENSG00000046647"
"522","ENSG00000046651"
"523","ENSG00000046653"
"524","ENSG00000046774"
"525","ENSG00000046889"
"526","ENSG00000047056"
"527","ENSG00000047188"
"528","ENSG00000047230"
"529","ENSG00000047249"
"530","ENSG00000047315"
"531","ENSG00000047346"
"532","ENSG00000047365"
"533","ENSG00000047410"
"534","ENSG00000047457"
"535","ENSG00000047578"
"536","ENSG00000047579"
"537","ENSG00000047597"
"538","ENSG00000047617"
"539","ENSG00000047621"
"540","ENSG00000047634"
"541","ENSG00000047644"
"542","ENSG00000047648"
"543","ENSG00000047662"
"544","ENSG00000047849"
"545","ENSG00000047932"
"546","ENSG00000047936"
"547","ENSG00000048028"
"548","ENSG00000048052"
"549","ENSG00000048162"
"550","ENSG00000048342"
"551","ENSG00000048392"
"552","ENSG00000048405"
"553","ENSG00000048462"
"554","ENSG00000048471"
"555","ENSG00000048544"
"556","ENSG00000048649"
"557","ENSG00000048707"
"558","ENSG00000048740"
"559","ENSG00000048828"
"560","ENSG00000048991"
"561","ENSG00000049089"
"562","ENSG00000049130"
"563","ENSG00000049192"
"564","ENSG00000049239"
"565","ENSG00000049246"
"566","ENSG00000049247"
"567","ENSG00000049249"
"568","ENSG00000049283"
"569","ENSG00000049323"
"570","ENSG00000049449"
"571","ENSG00000049540"
"572","ENSG00000049541"
"573","ENSG00000049618"
"574","ENSG00000049656"
"575","ENSG00000049759"
"576","ENSG00000049768"
"577","ENSG00000049769"
"578","ENSG00000049860"
"579","ENSG00000049883"
"580","ENSG00000050030"
"581","ENSG00000050130"
"582","ENSG00000050165"
"583","ENSG00000050327"
"584","ENSG00000050344"
"585","ENSG00000050393"
"586","ENSG00000050405"
"587","ENSG00000050438"
"588","ENSG00000050628"
"589","ENSG00000050730"
"590","ENSG00000050748"
"591","ENSG00000050820"
"592","ENSG00000051108"
"593","ENSG00000051128"
"594","ENSG00000051180"
"595","ENSG00000051341"
"596","ENSG00000051382"
"597","ENSG00000051523"
"598","ENSG00000051596"
"599","ENSG00000051620"
"600","ENSG00000051825"
"601","ENSG00000052126"
"602","ENSG00000052344"
"603","ENSG00000052723"
"604","ENSG00000052795"
"605","ENSG00000052841"
"606","ENSG00000053108"
"607","ENSG00000053328"
"608","ENSG00000053371"
"609","ENSG00000053372"
"610","ENSG00000053501"
"611","ENSG00000053524"
"612","ENSG00000053702"
"613","ENSG00000053747"
"614","ENSG00000053900"
"615","ENSG00000053918"
"616","ENSG00000054116"
"617","ENSG00000054118"
"618","ENSG00000054148"
"619","ENSG00000054179"
"620","ENSG00000054219"
"621","ENSG00000054267"
"622","ENSG00000054277"
"623","ENSG00000054282"
"624","ENSG00000054356"
"625","ENSG00000054392"
"626","ENSG00000054523"
"627","ENSG00000054598"
"628","ENSG00000054611"
"629","ENSG00000054654"
"630","ENSG00000054690"
"631","ENSG00000054793"
"632","ENSG00000054938"
"633","ENSG00000054965"
"634","ENSG00000054983"
"635","ENSG00000055044"
"636","ENSG00000055070"
"637","ENSG00000055118"
"638","ENSG00000055130"
"639","ENSG00000055147"
"640","ENSG00000055163"
"641","ENSG00000055211"
"642","ENSG00000055332"
"643","ENSG00000055483"
"644","ENSG00000055732"
"645","ENSG00000055813"
"646","ENSG00000055917"
"647","ENSG00000055955"
"648","ENSG00000055957"
"649","ENSG00000056050"
"650","ENSG00000056097"
"651","ENSG00000056291"
"652","ENSG00000056487"
"653","ENSG00000056558"
"654","ENSG00000056586"
"655","ENSG00000056661"
"656","ENSG00000056736"
"657","ENSG00000056972"
"658","ENSG00000056998"
"659","ENSG00000057019"
"660","ENSG00000057149"
"661","ENSG00000057252"
"662","ENSG00000057294"
"663","ENSG00000057468"
"664","ENSG00000057593"
"665","ENSG00000057608"
"666","ENSG00000057657"
"667","ENSG00000057663"
"668","ENSG00000057704"
"669","ENSG00000057757"
"670","ENSG00000057935"
"671","ENSG00000058056"
"672","ENSG00000058063"
"673","ENSG00000058085"
"674","ENSG00000058091"
"675","ENSG00000058262"
"676","ENSG00000058272"
"677","ENSG00000058335"
"678","ENSG00000058404"
"679","ENSG00000058453"
"680","ENSG00000058600"
"681","ENSG00000058668"
"682","ENSG00000058673"
"683","ENSG00000058729"
"684","ENSG00000058799"
"685","ENSG00000058866"
"686","ENSG00000059122"
"687","ENSG00000059378"
"688","ENSG00000059573"
"689","ENSG00000059588"
"690","ENSG00000059691"
"691","ENSG00000059728"
"692","ENSG00000059758"
"693","ENSG00000059769"
"694","ENSG00000059804"
"695","ENSG00000060069"
"696","ENSG00000060138"
"697","ENSG00000060140"
"698","ENSG00000060339"
"699","ENSG00000060491"
"700","ENSG00000060558"
"701","ENSG00000060566"
"702","ENSG00000060656"
"703","ENSG00000060688"
"704","ENSG00000060709"
"705","ENSG00000060749"
"706","ENSG00000060762"
"707","ENSG00000060971"
"708","ENSG00000060982"
"709","ENSG00000061273"
"710","ENSG00000061337"
"711","ENSG00000061455"
"712","ENSG00000061492"
"713","ENSG00000061656"
"714","ENSG00000061676"
"715","ENSG00000061794"
"716","ENSG00000061918"
"717","ENSG00000061936"
"718","ENSG00000061938"
"719","ENSG00000061987"
"720","ENSG00000062038"
"721","ENSG00000062096"
"722","ENSG00000062194"
"723","ENSG00000062282"
"724","ENSG00000062370"
"725","ENSG00000062485"
"726","ENSG00000062582"
"727","ENSG00000062598"
"728","ENSG00000062650"
"729","ENSG00000062716"
"730","ENSG00000062822"
"731","ENSG00000063015"
"732","ENSG00000063046"
"733","ENSG00000063127"
"734","ENSG00000063169"
"735","ENSG00000063177"
"736","ENSG00000063180"
"737","ENSG00000063241"
"738","ENSG00000063244"
"739","ENSG00000063245"
"740","ENSG00000063438"
"741","ENSG00000063515"
"742","ENSG00000063587"
"743","ENSG00000063601"
"744","ENSG00000063660"
"745","ENSG00000063761"
"746","ENSG00000063854"
"747","ENSG00000063978"
"748","ENSG00000064012"
"749","ENSG00000064042"
"750","ENSG00000064102"
"751","ENSG00000064115"
"752","ENSG00000064195"
"753","ENSG00000064199"
"754","ENSG00000064201"
"755","ENSG00000064205"
"756","ENSG00000064218"
"757","ENSG00000064225"
"758","ENSG00000064270"
"759","ENSG00000064300"
"760","ENSG00000064309"
"761","ENSG00000064393"
"762","ENSG00000064419"
"763","ENSG00000064489"
"764","ENSG00000064490"
"765","ENSG00000064545"
"766","ENSG00000064547"
"767","ENSG00000064601"
"768","ENSG00000064607"
"769","ENSG00000064651"
"770","ENSG00000064652"
"771","ENSG00000064655"
"772","ENSG00000064666"
"773","ENSG00000064687"
"774","ENSG00000064692"
"775","ENSG00000064703"
"776","ENSG00000064763"
"777","ENSG00000064787"
"778","ENSG00000064835"
"779","ENSG00000064886"
"780","ENSG00000064932"
"781","ENSG00000064933"
"782","ENSG00000064989"
"783","ENSG00000064999"
"784","ENSG00000065029"
"785","ENSG00000065054"
"786","ENSG00000065057"
"787","ENSG00000065060"
"788","ENSG00000065135"
"789","ENSG00000065150"
"790","ENSG00000065154"
"791","ENSG00000065183"
"792","ENSG00000065243"
"793","ENSG00000065268"
"794","ENSG00000065308"
"795","ENSG00000065325"
"796","ENSG00000065328"
"797","ENSG00000065357"
"798","ENSG00000065361"
"799","ENSG00000065371"
"800","ENSG00000065413"
"801","ENSG00000065427"
"802","ENSG00000065457"
"803","ENSG00000065485"
"804","ENSG00000065491"
"805","ENSG00000065518"
"806","ENSG00000065526"
"807","ENSG00000065534"
"808","ENSG00000065548"
"809","ENSG00000065559"
"810","ENSG00000065600"
"811","ENSG00000065609"
"812","ENSG00000065613"
"813","ENSG00000065615"
"814","ENSG00000065618"
"815","ENSG00000065621"
"816","ENSG00000065717"
"817","ENSG00000065802"
